127.0.0.1 - - [15/Oct/2021:09:22:04 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Oct/2021:09:22:05 +0900] "GET /mvc/WEB-INF/classes/main/indexController.java HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Oct/2021:09:22:23 +0900] "GET /mvc/index.do HTTP/1.1" 200 9792
0:0:0:0:0:0:0:1 - - [15/Oct/2021:09:22:23 +0900] "GET /mvc/common/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2021:09:22:23 +0900] "GET /mvc/images/kimdong.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2021:09:22:23 +0900] "GET /mvc/images/multi1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2021:09:22:23 +0900] "GET /mvc/images/multi2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2021:09:22:23 +0900] "GET /mvc/images/multi3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2021:09:22:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Oct/2021:09:23:14 +0900] "GET /mvc/WEB-INF/classes/main/indexController.java HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Oct/2021:09:23:20 +0900] "GET /mvc/index.do HTTP/1.1" 200 9792
